LGFi,FFi,FFo,PI,PO,Class
1,12,3,8,6,Normal
1,12,3,8,6,Normal
1,12,3,8,8,Normal
1,12,3,8,4,Normal
1,12,3,8,8,Normal
1,12,3,8,4,Normal
1,12,3,8,4,Normal
1,12,3,8,6,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,7,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,6,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,7,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,5,Normal
1,11,4,7,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
1,10,5,6,6,Normal
2,9,6,5,7,Normal
2,9,6,5,7,Normal
2,9,6,5,7,Normal
2,9,6,5,7,Normal
2,9,6,5,7,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,6,Normal
1,10,1,6,2,Normal
1,10,1,6,5,Normal
1,10,1,6,9,Normal
1,10,1,6,6,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,8,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,6,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,6,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,3,Normal
1,10,1,6,6,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,5,Normal
1,10,1,6,7,Normal
1,10,1,6,6,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,8,Normal
1,10,1,6,6,Normal
1,10,1,6,2,Normal
1,10,1,6,3,Normal
1,10,1,6,2,Normal
1,10,1,6,3,Normal
1,10,1,6,7,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,5,Normal
1,10,1,6,8,Normal
1,10,1,6,6,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,8,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,6,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,8,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,3,Normal
1,10,1,6,4,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,4,Normal
1,10,1,6,2,Normal
1,10,1,6,4,Normal
1,10,1,6,3,Normal
1,10,1,6,2,Normal
1,10,1,6,3,Normal
1,10,1,6,5,Normal
1,10,2,6,6,Normal
1,10,2,6,5,Normal
1,9,3,5,6,Normal
1,9,2,5,4,Normal
1,9,2,5,3,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,3,Normal
1,9,2,5,4,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,7,Normal
1,9,2,5,3,Normal
1,9,2,5,7,Normal
1,9,2,5,5,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,4,Normal
1,9,2,5,3,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,3,Normal
1,9,2,5,6,Normal
1,9,2,5,3,Normal
1,9,2,5,7,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,9,2,5,5,Normal
1,9,2,5,7,Normal
1,9,2,5,3,Normal
1,9,2,5,7,Normal
1,9,2,5,3,Normal
1,9,2,5,3,Normal
1,9,2,5,5,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,6,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,5,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,6,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,4,Normal
1,8,3,4,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
1,7,4,3,5,Normal
3,6,5,2,6,Normal
3,6,5,2,6,Normal
3,6,5,2,6,Normal
3,6,5,2,6,Normal
3,6,5,2,6,Normal
1,8,1,6,2,Normal
1,8,1,6,4,Normal
1,8,1,6,8,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,7,Normal
1,8,1,6,4,Normal
1,8,1,6,8,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,6,Normal
1,8,1,6,6,Normal
1,8,1,6,4,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,5,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,3,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,4,Normal
1,8,1,6,4,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,2,Normal
1,8,1,6,3,Normal
1,8,1,6,8,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,7,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,5,Normal
1,8,1,6,8,Normal
1,8,1,6,4,Normal
1,8,1,6,6,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,5,Normal
1,8,1,6,6,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,6,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,3,Normal
1,8,1,6,6,Normal
1,8,1,6,4,Normal
1,8,1,6,2,Normal
1,8,1,6,6,Normal
1,8,1,6,6,Normal
1,8,1,6,2,Normal
1,8,1,6,4,Normal
1,7,2,5,3,Normal
1,7,2,5,7,Normal
1,7,2,5,3,Normal
1,7,2,5,4,Normal
1,7,2,5,3,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,5,Normal
1,7,2,5,3,Normal
1,7,2,5,7,Normal
1,7,2,5,3,Normal
1,7,2,5,3,Normal
1,7,2,5,4,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,3,Normal
1,7,2,5,4,Normal
1,7,2,5,3,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,7,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,3,Normal
1,7,2,5,5,Normal
1,7,2,5,3,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,6,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
1,6,3,4,4,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
2,5,4,3,5,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,4,Normal
1,6,1,6,2,Normal
1,6,1,6,4,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,4,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,4,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,4,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,2,Normal
1,6,1,6,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,5,2,5,3,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,4,3,4,4,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,3,4,3,5,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,5,2,6,Normal
1,2,2,2,3,Normal
1,4,2,4,4,Normal
1,4,2,4,4,Normal
1,6,2,6,3,Normal
1,6,2,6,3,Normal
1,4,2,4,3,Normal
1,4,2,4,3,Normal
1,4,2,4,3,Normal
1,4,2,4,3,Normal
0,1,2,1,2,Normal
0,1,2,1,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,5,2,5,2,Normal
1,5,2,5,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,3,3,3,2,Normal
1,3,3,3,4,Normal
1,2,2,2,3,Normal
1,2,2,2,3,Normal
1,4,2,4,3,Normal
0,1,3,1,4,Normal
1,4,6,4,2,Normal
1,4,200000,4,2,Normal
1,2,200000,2,2,Normal
1,4,200000,4,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
0,1,2,1,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,3,2,3,2,Normal
1,2,3,2,3,Normal
1,2,3,2,3,Normal
0,1,4,1,4,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
9,0,0,1,10,Normal
9,0,0,1,7,Normal
9,0,0,1,7,Normal
9,0,0,1,5,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
5,0,0,1,3,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
9,0,0,1,5,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
5,0,0,1,3,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
9,0,0,1,10,Normal
9,0,0,1,7,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
9,0,0,1,10,Normal
9,0,0,1,7,Normal
9,0,0,1,7,Normal
9,0,0,1,5,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
5,0,0,1,3,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,7,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
9,0,0,1,10,Normal
9,0,0,1,7,Normal
9,0,0,1,7,Normal
9,0,0,1,5,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
5,0,0,1,3,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
9,0,0,1,7,Normal
9,0,0,1,7,Normal
9,0,0,1,5,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
5,0,0,1,3,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
6,0,0,1,9,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
5,0,0,1,3,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,9,Normal
9,0,0,1,9,Normal
9,0,0,1,10,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,5,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,10,Normal
6,0,0,1,8,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
2,0,0,1,4,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,10,Normal
6,0,0,1,10,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,8,Normal
9,0,0,1,3,Normal
6,0,0,1,4,Normal
2,0,0,1,5,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
2,0,0,1,5,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,8,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
9,0,0,1,7,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
5,0,0,1,5,Normal
9,0,0,1,1,Normal
9,0,0,1,2,Normal
9,0,0,1,3,Normal
9,0,0,1,4,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,5,Normal
9,0,0,1,6,Normal
9,0,0,1,7,Normal
6,0,0,1,6,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
2,0,0,1,5,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,9,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,7,Normal
6,0,0,1,8,Normal
6,0,0,1,6,Normal
6,0,0,1,4,Normal
6,0,0,1,5,Normal
2,0,0,1,5,Normal
6,0,0,1,1,Normal
6,0,0,1,2,Normal
6,0,0,1,3,Normal
6,0,0,1,4,Normal
6,0,2,1,9,Normal
6,0,2,1,3,Normal
6,0,2,1,6,Normal
6,0,2,1,6,Normal
6,0,2,1,12,Normal
6,0,2,1,12,Normal
6,0,2,1,5,Normal
6,0,2,1,5,Normal
6,0,2,1,7,Normal
6,0,2,1,7,Normal
6,0,2,1,8,Normal
6,0,2,1,8,Normal
6,0,2,1,9,Normal
6,0,2,1,8,Normal
6,0,2,1,6,Normal
6,0,2,1,6,Normal
6,0,2,1,5,Normal
6,0,2,1,5,Normal
2,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,2,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,1,Normal
5,1,0,2,2,Normal
5,1,0,2,1,Normal
2,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,2,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
6,0,0,1,2,Normal
5,1,0,2,3,Normal
9,0,0,1,3,Normal
14,1,0,2,3,Normal
9,0,0,1,2,Normal
11,2,0,3,3,Normal
9,0,0,1,1,Normal
11,2,0,3,2,Normal
11,2,0,3,1,Normal
5,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,2,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
9,0,0,1,3,Normal
11,2,0,3,3,Normal
